Period,unknown,3G,2G,LTE
2023-04-22,338.2460154425353,61599.34132176358,406.35530336759984,1041941.2777667772
2023-04-23,324.12605590280145,61977.44136492256,364.032700587064,1084711.2277372554
2023-04-24,19630.90291741211,58988.99766767118,322.4125393079594,1037706.6888909508
2023-04-25,4680.1565734781325,60913.24487207271,332.68245088122785,1079919.8486622702
2023-04-26,3943.459945754148,60046.65137977991,320.7108361227438,1076507.7284508944
2023-04-27,2120.21278249193,59714.67186227441,317.1668751919642,1071067.3759763595
2023-04-28,1872.7513806847855,60489.47468875814,323.52057521604,1093409.6235657576
2023-04-29,1380.087391779758,63783.809755456634,349.0657244184986,1171146.7159743235
2023-04-30,956.6792880976573,67507.59644335788,378.3568777553737,1232501.4748964738
2023-05-01,738.3583023324609,68813.73947458249,387.2202836154029,1297019.4608667586
2023-05-02,892.1479021077976,62949.097218159586,338.49268210027367,1188120.48624889
2023-05-03,803.6266172351316,62560.498219710775,329.1939598005265,1142437.547141714
2023-05-04,776.5153464777395,61928.96373785753,322.99524827394634,1101610.5655125622
2023-05-05,704.1386054418981,62452.48559339717,330.2997269211337,1132626.587666031
2023-05-06,659.5334992147982,65255.06458582729,339.62063792254776,1220333.1448952109
2023-05-07,584.0634215855971,68050.87527645007,365.05835288763046,1272123.699846249
2023-05-08,2169.444109380245,65505.6556679178,358.50648780260235,1181869.40761704
2023-05-09,13561.428710470907,63672.058563952334,336.10544829349965,1141794.7351709194
2023-05-10,22332.83308863733,62326.64642964117,327.68423162586987,1131946.3465757202
2023-05-11,29717.780436420813,63696.357174001634,343.78378007374704,1133174.1111951042
2023-05-12,36370.00404217094,64910.52020474151,352.82621545158327,1157842.7515821904
2023-05-13,45492.33218251262,66362.33790593222,362.97640877682716,1197955.4428404104
2023-05-14,54111.81767371204,69513.08455442917,393.442928805016,1264984.2721432075
2023-05-15,53655.72269527055,63337.23299247306,353.8509409725666,1124090.3303387575
2023-05-16,56325.24176540598,60841.91322509386,317.27838307246566,1092501.7214944959
2023-05-17,59740.8814140996,60289.98944731802,303.92595692072064,1074597.35059632
2023-05-18,61736.811354276724,59550.78106931038,305.18447425495833,1056045.7452764362
2023-05-19,66344.86630881485,61916.07482573204,326.6244824640453,1089529.6660028864
2023-05-20,74612.17379408889,65234.48279860616,366.34070731978863,1159470.6675128918
2023-05-21,71760.42699179798,60808.543511811644,339.39262646529824,1085031.1688059475
2023-05-22,71900.88585486542,58934.79430321511,297.48589849844575,1041129.8411725834
2023-05-23,70548.08896462526,58969.12621439714,300.10239745583385,1030347.9854567349
2023-05-24,73608.33839142695,59486.668962216936,311.3530469732359,1048278.7860965915
2023-05-25,73895.58229016978,61301.349110203795,343.25490623153746,1073356.6631816886
2023-05-26,63888.37232357357,60178.0070586456,327.2212773412466,1054681.933570644
2023-05-27,71898.6911040172,61356.12519118469,330.4934554044157,1102612.709115604
2023-05-28,76399.17867098935,63647.86687527783,346.77088308986276,1138670.1557785645
2023-05-29,72229.87224420346,59004.83157686237,317.30161069054157,1052221.0850837734
2023-05-30,72614.7805364728,58780.56364386529,331.8646698119119,1037454.4468284771
2023-05-31,76307.38199958485,61010.403115718625,351.32776971906424,1079868.1580711715
2023-06-01,76516.14486115519,66771.64954753127,373.0329541070387,1192501.683365116
2023-06-02,75763.79406074714,64158.01282111276,358.0847784653306,1159440.3306625318
2023-06-03,83421.32514258195,65872.99231038801,352.0263543277979,1221149.034202844
